,,,Salary,Salary,Salary,Salary,Salary,Salary,,
133,Derrick Favors\favorde01,UTA,$9258000,$9720900,$10183800,,,,MLE,$18978900
134,Montrezl Harrell\harremo01,LAL,$9258000,$9720900,,,,,MLE,$18978900
135,Tristan Thompson\thomptr01,BOS,$9258000,$9720900,,,,,MLE,$18978900
136,Serge Ibaka\ibakase01,LAC,$9258000,$9742000,,,,,MLE,$9258000
137,Ja Morant\moranja01,MEM,$9166800,$9603360,$12119440,,,,1st Round Pick,$18770160
138,Delon Wright\wrighde01,DET,$9000000,$8526316,,,,,Sign and Trade,$17526316
139,Marvin Bagley III\baglema01,SAC,$8963640,$11312114,,,,,1st Round Pick,$20275754
140,Cedi Osman\osmande01,CLE,$8750000,$8050000,$7350000,$6650000,,,MLE,$24150000
141,James Wiseman\wisemja01,GSW,$8730240,$9166800,$9603360,$12119440,,,1st Round Pick,$17897040
142,Dario Šarić\saricda01,PHO,$8333333,$9000000,$9666667,,,,Bird,$27000000
143,Thomas Bryant\bryanth01,WAS,$8333333,$8730159,,,,,Early Bird Rights,$17063492
144,Maxi Kleber\klebima01,DAL,$8250000,$8750000,$9000000,,,,Early Bird Rights,$17000000
145,RJ Barrett\barrerj01,NYK,$8231760,$8623920,$10900635,,,,1st Round Pick,$16855680
146,Jakob Poeltl\poeltja01,SAS,$8101852,$8750000,$9398148,,,,Bird,$26250000
147,De'Aaron Fox\foxde01,SAC,$8099627,$28103550,$30351834,$32600118,$34848402,$37096686,1st Round Pick,$171100217
148,Luka Dončić\doncilu01,DAL,$8049360,$10174391,,,,,1st Round Pick,$18223751
149,Royce O'Neale\onealro01,UTA,$8035714,$8678571,$9321429,$9964286,,,Cap space,$36000000
150,Mason Plumlee\plumlma01,DET,$8000000,$8137500,$8525000,,,,Cap space,$24662500
151,Lou Williams\willilo02,LAC,$8000000,,,,,,Cap Space,$8000000
152,P.J. Tucker\tuckepj01,HOU,$7969537,,,,,,MLE,$7969537
153,Tyus Jones\jonesty01,MEM,$7965100,$7522200,,,,,MLE,$15487300
154,LaMelo Ball\ballla01,CHO,$7839960,$8231760,$8623920,$10900635,,,1st Round Pick,$16071720
155,Seth Curry\curryse01,PHI,$7813953,$8186047,$8558140,,,,MLE,$24558140
156,De'Anthony Melton\meltode01,MEM,$7812500,$8437500,$9062500,$9687500,,,Early Bird,$35000000
157,Derrick Rose\rosede01,DET,$7682927,,,,,,MLE,$7682927
158,Cristiano Felício\feliccr01,CHI,$7529020,,,,,,Cap space,$7529020
159,Rajon Rondo\rondora01,ATL,$7500000,$7500000,,,,,Cap Space,$15000000
160,De'Andre Hunter\huntede01,ATL,$7422000,$7775400,$9835881,,,,1st Round Pick,$15197400
161,Jonathan Isaac\isaacjo01,ORL,$7362566,$17400000,$17400000,$17400000,$17400000,,1st Round Pick,$76962566
162,Doug McDermott\mcderdo01,IND,$7333333,,,,,,Cap Space,$7333333
163,Robin Lopez\lopezro01,WAS,$7300000,,,,,,MLE,$7300000
164,Jaren Jackson Jr.\jacksja02,MEM,$7257360,$9180560,,,,,1st Round Pick,$16437920
165,JaMychal Green\greenja01,DEN,$7199760,$7559748,,,,,MLE,$14759508
166,Nemanja Bjelica\bjeline01,SAC,$7150000,,,,,,,
167,Patrick Williams\willipa01,CHI,$7068360,$7422000,$7775400,$9835881,,,1st Round Pick,$14490360
168,Ivica Zubac\zubaciv01,LAC,$7000000,$7518518,$7518518,,,,Bird Rights,$14518518
169,Darius Miller\milleda01,OKC,$7000000,,,,,,Early Bird Rights,$7000000
170,Aron Baynes\baynear01,TOR,$6975610,$7324390,,,,,MLE,$6975610
171,Lauri Markkanen\markkla01,CHI,$6731508,,,,,,1st Round Pick,$6731508
